,_c0,teamID,yearID,G,W,L,H,AB,SB,HR,2B,3B,R,ERA,RA,IPouts,HA,BBA,BAVG,SLG,H/BBA,IP,WHIP,Run_Buckets
149,170,PIT,2017,162,75,87,1331,5458,67.0,151,249,36,668,4.22,731,4322,1464,511,0.24386222059362403,0.38567240747526566,1975,1440.6666666666667,1.370893105043961,LOW
150,171,PIT,2018,161,82,79,1381,5447,70.0,157,290,38,692,4.0,693,4302,1380,497,0.2535340554433633,0.40719662199375806,1877,1434.0,1.308926080892608,LOW-MID
151,172,PIT,2019,162,69,93,1497,5657,64.0,163,315,38,758,5.18,911,4320,1511,584,0.26462789464380415,0.42018737846915327,2095,1440.0,1.4548611111111112,MID-HIGH
152,174,PIT,2021,162,61,101,1261,5336,60.0,124,240,35,609,5.08,833,4189,1400,606,0.2363193403298351,0.3641304347826087,2006,1396.3333333333333,1.4366197183098592,LOW
153,175,PIT,2022,162,62,100,1186,5331,89.0,158,221,29,591,4.66,817,4263,1432,586,0.22247233164509472,0.3637216282123429,2018,1421.0,1.4201266713581984,LOW
154,176,SDN,2015,162,74,88,1324,5457,82.0,148,260,36,650,4.09,731,4321,1371,516,0.2426241524647242,0.38482682792743267,1887,1440.3333333333333,1.310113399676001,LOW
155,177,SDN,2016,162,68,94,1275,5419,125.0,177,257,26,686,4.43,770,4320,1425,569,0.23528326259457463,0.39029341206864737,1994,1440.0,1.3847222222222222,LOW-MID
156,178,SDN,2017,162,71,91,1251,5356,89.0,189,227,31,604,4.67,816,4292,1417,554,0.2335698282300224,0.39339058999253174,1971,1430.6666666666667,1.3776794035414723,LOW
157,179,SDN,2018,162,66,96,1289,5486,95.0,162,250,30,617,4.4,767,4371,1430,519,0.23496172074371127,0.3800583302952971,1949,1457.0,1.3376801647220316,LOW
158,180,SDN,2019,162,70,92,1281,5391,70.0,219,224,24,682,4.6,789,4296,1394,463,0.2376182526432944,0.40994249675384903,1857,1432.0,1.2967877094972067,LOW-MID
159,182,SDN,2021,162,79,83,1305,5384,110.0,180,273,21,729,4.1,708,4290,1277,516,0.2423848439821694,0.4011887072808321,1793,1430.0,1.2538461538461538,MID
160,183,SDN,2022,162,89,73,1317,5468,49.0,153,275,18,705,3.81,660,4330,1263,468,0.2408558888076079,0.38167520117044623,1731,1443.3333333333333,1.1993071593533489,LOW-MID
161,184,SEA,2015,162,76,86,1379,5544,69.0,198,262,22,656,4.16,726,4389,1430,491,0.24873737373737373,0.4110750360750361,1921,1463.0,1.3130553656869446,LOW
162,185,SEA,2016,162,86,76,1446,5583,56.0,223,251,17,768,4.0,707,4371,1410,460,0.25900053734551315,0.42987641053197206,1870,1457.0,1.283459162663006,MID-HIGH
163,186,SEA,2017,162,78,84,1436,5551,89.0,200,281,17,750,4.46,772,4321,1399,490,0.25869212754458654,0.4235272923797514,1889,1440.3333333333333,1.3115019671372368,MID-HIGH
164,187,SEA,2018,162,89,73,1402,5513,79.0,176,256,32,677,4.13,711,4346,1396,400,0.25430799927444225,0.40812624705242156,1796,1448.6666666666667,1.2397606994937873,LOW-MID
165,188,SEA,2019,162,68,94,1305,5500,115.0,239,254,28,758,4.99,893,4318,1484,505,0.23727272727272727,0.424,1989,1439.3333333333333,1.3818897637795275,MID-HIGH
166,190,SEA,2021,162,90,72,1209,5355,64.0,199,233,11,697,4.3,748,4321,1356,485,0.2257703081232493,0.38487394957983195,1841,1440.3333333333333,1.278176348067577,LOW-MID
167,191,SEA,2022,162,90,72,1236,5375,83.0,197,229,19,690,3.59,623,4341,1277,447,0.22995348837209303,0.38958139534883723,1724,1447.0,1.1914305459571528,LOW-MID
168,192,SFN,2015,162,84,78,1486,5565,93.0,136,288,39,696,3.72,627,4333,1344,431,0.26702605570530097,0.40610961365678344,1775,1444.3333333333333,1.2289406877452111,LOW-MID
169,193,SFN,2016,162,87,75,1437,5565,79.0,130,280,54,715,3.65,631,4381,1334,439,0.2582210242587601,0.39802336028751123,1773,1460.3333333333333,1.2141063684090392,MID
170,194,SFN,2017,162,64,98,1382,5551,76.0,128,290,28,639,4.5,776,4356,1515,496,0.24896415060349486,0.3804719870293641,2011,1452.0,1.3849862258953167,LOW
171,195,SFN,2018,162,73,89,1324,5541,77.0,133,255,30,603,3.95,699,4384,1387,524,0.23894603862118752,0.36780364555134454,1911,1461.3333333333333,1.3077098540145986,LOW
172,196,SFN,2019,162,77,85,1332,5579,47.0,167,300,26,678,4.38,773,4407,1395,519,0.23875246459939056,0.39164724861086214,1914,1469.0,1.302927161334241,LOW-MID
173,198,SFN,2021,162,107,55,1360,5462,66.0,241,271,25,804,3.24,594,4365,1254,416,0.24899304284145002,0.4401318198462102,1670,1455.0,1.147766323024055,HIGH
174,199,SFN,2022,162,81,81,1261,5392,64.0,183,255,18,716,3.85,697,4299,1397,441,0.23386498516320475,0.3896513353115727,1838,1433.0,1.2826238660153524,MID
175,200,SLN,2015,162,100,62,1386,5484,69.0,137,288,39,647,2.94,525,4394,1359,477,0.2527352297592998,0.39442013129102843,1836,1464.6666666666667,1.253527537551206,LOW
176,201,SLN,2016,162,86,76,1415,5548,35.0,225,299,32,779,4.08,712,4345,1432,475,0.25504686373467916,0.44214131218457103,1907,1448.3333333333333,1.3166858457997699,MID-HIGH
177,202,SLN,2017,162,83,79,1402,5470,81.0,196,284,28,761,4.01,705,4351,1393,493,0.25630712979890313,0.4259597806215722,1886,1450.3333333333333,1.3003907147782119,MID-HIGH
178,203,SLN,2018,162,88,74,1369,5498,63.0,205,248,9,759,3.85,691,4366,1354,593,0.24899963623135685,0.4092397235358312,1947,1455.3333333333333,1.337837837837838,MID-HIGH
179,204,SLN,2019,162,91,71,1336,5449,116.0,210,246,24,764,3.8,662,4332,1284,545,0.2451826023123509,0.41475500091759954,1829,1444.0,1.2666204986149585,MID-HIGH
180,206,SLN,2021,162,90,72,1303,5351,89.0,198,261,22,706,3.98,672,4251,1234,608,0.24350588675014015,0.41151186694075875,1842,1417.0,1.2999294283697953,MID
181,207,SLN,2022,162,93,69,1386,5496,95.0,197,290,21,772,3.79,637,4307,1335,489,0.2521834061135371,0.42012372634643375,1824,1435.6666666666667,1.270489900162526,MID-HIGH
182,208,TBA,2015,162,80,82,1383,5485,87.0,167,278,32,644,3.74,642,4360,1314,477,0.2521422060164084,0.4058340929808569,1791,1453.3333333333333,1.2323394495412845,LOW
183,209,TBA,2016,162,68,94,1333,5481,60.0,216,288,32,672,4.2,713,4279,1395,491,0.24320379492793287,0.4256522532384601,1886,1426.3333333333333,1.3222715587754148,LOW-MID
184,210,TBA,2017,162,80,82,1340,5478,88.0,228,226,32,694,3.97,704,4335,1324,503,0.24461482292807593,0.4224169404892296,1827,1445.0,1.2643598615916956,LOW-MID
185,211,TBA,2018,162,90,72,1415,5475,128.0,150,274,43,716,3.74,646,4345,1236,501,0.25844748858447486,0.4063926940639269,1737,1448.3333333333333,1.1993095512082854,MID
186,212,TBA,2019,162,96,66,1427,5628,94.0,217,291,29,769,3.65,656,4423,1274,453,0.2535536602700782,0.4312366737739872,1727,1474.3333333333333,1.1713768935111915,MID-HIGH
187,214,TBA,2021,162,100,62,1336,5507,88.0,222,288,36,857,3.67,651,4367,1264,436,0.2426003268567278,0.42890866170328673,1700,1455.6666666666667,1.1678497824593541,HIGH
188,215,TBA,2022,162,86,76,1294,5412,95.0,139,296,17,666,3.41,614,4307,1260,384,0.23909830007390984,0.3771249076127125,1644,1435.6666666666667,1.1451126073833293,LOW
189,216,TEX,2015,162,88,74,1419,5511,101.0,172,279,32,751,4.24,733,4328,1459,508,0.25748502994011974,0.4133551079658864,1967,1442.6666666666667,1.3634473197781884,MID-HIGH
190,217,TEX,2016,162,95,67,1446,5525,99.0,215,257,23,765,4.37,757,4329,1441,534,0.2617194570135747,0.4333031674208145,1975,1443.0,1.3686763686763688,MID-HIGH
191,218,TEX,2017,162,78,84,1326,5430,113.0,237,255,21,799,4.66,816,4303,1443,559,0.24419889502762432,0.4298342541436464,2002,1434.3333333333333,1.3957703927492449,HIGH
192,219,TEX,2018,162,67,95,1308,5453,74.0,194,266,24,737,4.92,848,4293,1516,491,0.23986796258940032,0.40418118466898956,2007,1431.0,1.4025157232704402,MID
193,220,TEX,2019,162,78,84,1374,5540,131.0,223,296,24,810,5.06,878,4314,1515,583,0.248014440433213,0.4308664259927798,2098,1438.0,1.458970792767733,HIGH
194,222,TEX,2021,162,60,102,1254,5405,106.0,167,225,24,625,4.79,815,4273,1402,513,0.23200740055504163,0.3752081406105458,1915,1424.3333333333333,1.34448864966066,LOW
195,223,TEX,2022,162,68,94,1308,5478,128.0,198,224,20,707,4.22,743,4305,1345,581,0.23877327491785322,0.3953997809419496,1926,1435.0,1.3421602787456446,MID
196,224,TOR,2015,162,93,69,1480,5509,88.0,232,308,17,891,3.8,670,4323,1353,397,0.26865129787620257,0.45707024868397167,1750,1441.0,1.2144344205412907,HIGH
197,225,TOR,2016,162,89,73,1358,5479,54.0,221,276,18,759,3.78,666,4378,1340,461,0.24785544807446613,0.4258076291294032,1801,1459.3333333333333,1.234125171311101,MID-HIGH
198,226,TOR,2017,162,76,86,1320,5499,53.0,222,269,5,693,4.42,784,4395,1460,549,0.24004364429896344,0.41189307146753956,2009,1465.0,1.3713310580204778,LOW-MID
199,227,TOR,2018,162,73,89,1336,5477,47.0,217,320,16,709,4.85,832,4301,1476,551,0.2439291582983385,0.42705860872740553,2027,1433.6666666666667,1.4138572425017437,MID
200,228,TOR,2019,162,67,95,1299,5493,51.0,247,270,21,726,4.79,828,4321,1450,604,0.2364827962861824,0.4281813216821409,2054,1440.3333333333333,1.4260587826891924,MID
201,230,TOR,2021,162,91,71,1455,5476,81.0,262,285,13,846,3.91,663,4216,1257,473,0.26570489408327247,0.4660336011687363,1730,1405.3333333333333,1.231024667931689,HIGH
202,231,TOR,2022,162,92,70,1464,5555,67.0,200,307,12,775,3.87,679,4324,1356,424,0.26354635463546355,0.43114311431143115,1780,1441.3333333333333,1.234967622571693,MID-HIGH
203,232,WAS,2015,162,83,79,1363,5428,57.0,177,265,13,703,3.62,635,4304,1366,364,0.251105379513633,0.4025423728813559,1730,1434.6666666666667,1.2058550185873604,LOW-MID
204,233,WAS,2016,162,95,67,1403,5490,121.0,203,268,29,763,3.51,612,4379,1272,468,0.25555555555555554,0.42586520947176687,1740,1459.6666666666667,1.1920529801324502,MID-HIGH
205,234,WAS,2017,162,97,65,1477,5553,108.0,215,311,31,819,3.88,672,4340,1300,495,0.26598235188186564,0.4493066810732937,1795,1446.6666666666667,1.2407834101382489,HIGH
206,235,WAS,2018,162,82,80,1402,5517,119.0,191,284,25,771,4.04,682,4338,1320,487,0.2541236179082835,0.4185245604495197,1807,1446.0,1.2496542185338866,MID-HIGH
207,236,WAS,2019,162,93,69,1460,5512,116.0,231,298,27,873,4.27,724,4318,1340,517,0.2648766328011611,0.45446298984034833,1857,1439.3333333333333,1.2901806391848079,HIGH
208,238,WAS,2021,162,65,97,1388,5385,56.0,182,272,20,724,4.8,820,4183,1364,548,0.257753017641597,0.4170844939647168,1912,1394.3333333333333,1.3712646426010042,MID
209,239,WAS,2022,162,55,107,1351,5434,75.0,136,252,20,603,5.0,855,4235,1469,558,0.2486198012513802,0.37743835112256163,2027,1411.6666666666667,1.4358913813459266,LOW
