,_c0,teamID,yearID,G,W,L,H,AB,SB,HR,2B,3B,R,ERA,RA,IPouts,HA,BBA,BAVG,SLG,H/BBA,IP,WHIP,Run_Buckets
29,33,CHA,2016,162,78,84,1428,5550,77.0,168,277,33,686,4.1,715,4340,1422,521,0.2572972972972973,0.4099099099099099,1943,1446.6666666666667,1.3430875576036865,LOW-MID
30,34,CHA,2017,162,67,95,1412,5513,71.0,186,256,37,706,4.78,820,4265,1384,632,0.2561218937057863,0.417195719209142,2016,1421.6666666666667,1.4180539273153574,MID
31,35,CHA,2018,162,62,100,1332,5523,98.0,182,259,40,656,4.83,848,4311,1404,653,0.2411732753938077,0.40141227593699075,2057,1437.0,1.431454418928323,LOW
32,36,CHA,2019,161,72,89,1443,5529,63.0,182,260,20,708,4.9,832,4238,1438,582,0.2609875203472599,0.4139989148128052,2020,1412.6666666666667,1.4299197734780555,MID
33,38,CHA,2021,162,93,69,1373,5357,57.0,190,275,22,796,3.73,636,4210,1205,485,0.25630016800448013,0.4222512600336009,1690,1403.3333333333333,1.2042755344418052,HIGH
34,39,CHA,2022,162,81,81,1435,5611,58.0,149,272,9,686,3.92,717,4343,1330,533,0.25574763856710037,0.3870967741935484,1863,1447.6666666666667,1.2868984572875892,LOW-MID
35,40,CHN,2015,162,97,65,1341,5491,95.0,171,272,30,689,3.36,608,4384,1276,407,0.24421781096339465,0.39810599162265525,1683,1461.3333333333333,1.1516879562043796,LOW-MID
36,41,CHN,2016,162,103,58,1409,5503,66.0,199,293,30,808,3.15,556,4379,1125,495,0.25604215882246045,0.42867526803561695,1620,1459.6666666666667,1.1098424297784881,HIGH
37,42,CHN,2017,162,92,70,1402,5496,62.0,223,274,29,822,3.95,695,4342,1294,554,0.2550946142649199,0.43722707423580787,1848,1447.3333333333333,1.27683095347766,HIGH
38,43,CHN,2018,163,95,68,1453,5624,66.0,167,286,34,761,3.65,645,4429,1319,622,0.2583570412517781,0.41038406827880514,1941,1476.3333333333333,1.3147437344773087,MID-HIGH
39,44,CHN,2019,162,84,78,1378,5461,45.0,256,270,26,814,4.1,717,4326,1376,534,0.252334737227614,0.45193188060794726,1910,1442.0,1.3245492371705965,HIGH
40,46,CHN,2021,162,71,91,1255,5306,86.0,210,225,26,705,4.87,839,4238,1386,596,0.23652468903128535,0.4074632491519035,1982,1412.6666666666667,1.4030202925908446,LOW-MID
41,47,CHN,2022,162,74,88,1293,5425,111.0,159,265,31,657,4.0,731,4331,1342,540,0.2383410138248848,0.3865437788018433,1882,1443.6666666666667,1.3036250288616946,LOW
42,48,CIN,2015,162,64,98,1382,5571,134.0,167,257,27,640,4.33,754,4360,1436,544,0.24807036438700414,0.3938251660384132,1980,1453.3333333333333,1.3623853211009176,LOW
43,49,CIN,2016,162,68,94,1403,5487,139.0,164,277,33,716,4.91,854,4326,1457,636,0.2556952797521414,0.4078731547293603,2093,1442.0,1.4514563106796117,MID
44,50,CIN,2017,162,68,94,1390,5484,120.0,219,249,38,753,5.17,869,4290,1442,631,0.25346462436177974,0.4325309992706054,2073,1430.0,1.4496503496503497,MID-HIGH
45,51,CIN,2018,162,67,95,1404,5532,77.0,172,251,25,696,4.63,819,4323,1491,532,0.25379609544468545,0.4014822848879248,2023,1441.0,1.4038861901457322,LOW-MID
46,52,CIN,2019,162,75,87,1328,5450,80.0,227,235,27,701,4.18,711,4314,1270,536,0.2436697247706422,0.421651376146789,1806,1438.0,1.2559109874826146,LOW-MID
47,54,CIN,2021,162,83,79,1352,5423,36.0,222,295,13,786,4.4,760,4303,1330,617,0.249308500829799,0.4313110824267011,1947,1434.3333333333333,1.3574250522891007,MID-HIGH
48,55,CIN,2022,162,62,100,1264,5380,58.0,156,235,18,648,4.86,815,4270,1366,612,0.23494423791821561,0.37230483271375464,1978,1423.3333333333333,1.3896955503512882,LOW
49,56,CLE,2015,161,81,80,1395,5439,86.0,141,303,29,669,3.67,640,4298,1274,425,0.2564809707666851,0.4006251149108292,1699,1432.6666666666667,1.1859004187994415,LOW-MID
50,57,CLE,2016,161,94,67,1435,5484,134.0,185,308,29,777,3.84,676,4335,1330,461,0.2616703136396791,0.42961342086068566,1791,1445.0,1.2394463667820068,MID-HIGH
51,58,CLE,2017,162,102,60,1449,5511,88.0,212,333,29,818,3.3,564,4322,1267,406,0.26292868807838865,0.4492832516784613,1673,1440.6666666666667,1.1612679315131882,HIGH
52,59,CLE,2018,162,91,71,1447,5595,135.0,216,297,19,818,3.77,648,4372,1349,407,0.2586237712243074,0.4343163538873995,1756,1457.3333333333333,1.2049405306495884,HIGH
53,60,CLE,2019,162,93,69,1354,5425,103.0,223,286,18,769,3.76,657,4313,1308,450,0.2495852534562212,0.432258064516129,1758,1437.6666666666667,1.2228147461163923,MID-HIGH
54,62,CLE,2021,162,80,82,1269,5332,109.0,203,248,22,717,4.34,727,4224,1281,522,0.23799699924981246,0.4069767441860465,1803,1408.0,1.2805397727272727,MID
55,63,CLE,2022,162,92,70,1410,5558,119.0,127,273,31,698,3.46,634,4368,1252,435,0.25368837711406983,0.3825116948542641,1687,1456.0,1.1586538461538463,LOW-MID
56,64,COL,2015,162,68,94,1479,5572,97.0,186,274,49,737,5.04,844,4279,1579,579,0.26543431442928933,0.4323402727925341,2158,1426.3333333333333,1.5129703201682636,MID
57,65,COL,2016,162,75,87,1544,5614,66.0,204,318,47,845,4.91,860,4288,1532,547,0.2750267189169932,0.4574278589241183,2079,1429.3333333333333,1.4545242537313434,HIGH
58,66,COL,2017,162,87,75,1510,5534,59.0,192,293,38,824,4.51,757,4313,1453,532,0.2728586917238887,0.4436212504517528,1985,1437.6666666666667,1.3807094829584976,HIGH
59,67,COL,2018,163,91,72,1418,5541,95.0,210,280,42,780,4.33,745,4357,1378,525,0.25591048547193646,0.43530048727666487,1903,1452.3333333333333,1.3103052559100299,MID-HIGH
60,68,COL,2019,162,71,91,1502,5660,71.0,224,323,41,835,5.56,958,4346,1576,589,0.2653710247349823,0.4556537102473498,2165,1448.6666666666667,1.4944776806258628,HIGH
61,70,COL,2021,161,74,87,1338,5374,76.0,182,275,34,739,4.82,796,4191,1397,539,0.24897655377744696,0.4144026795682918,1936,1397.0,1.3858267716535433,MID
62,71,COL,2022,162,68,94,1408,5540,45.0,149,280,34,698,5.06,873,4276,1516,539,0.25415162454873647,0.3976534296028881,2055,1425.3333333333333,1.4417680074836297,LOW-MID
63,72,DET,2015,161,74,87,1515,5605,83.0,151,289,49,689,4.64,803,4341,1491,489,0.27029438001784123,0.4201605709188225,1980,1447.0,1.3683483068417415,LOW-MID
64,73,DET,2016,161,86,75,1476,5526,58.0,211,252,30,750,4.24,721,4284,1417,462,0.2671009771986971,0.4381107491856677,1879,1428.0,1.3158263305322129,MID-HIGH
65,74,DET,2017,162,64,98,1435,5556,65.0,187,289,35,735,5.36,894,4261,1587,538,0.2582793376529878,0.423866090712743,2125,1420.3333333333333,1.4961276695611359,MID
66,75,DET,2018,162,64,98,1326,5494,70.0,135,284,35,630,4.58,796,4276,1423,491,0.241354204586822,0.3795049144521296,1914,1425.3333333333333,1.342843779232928,LOW
67,76,DET,2019,161,47,114,1333,5549,57.0,149,292,41,582,5.24,915,4299,1555,536,0.24022346368715083,0.38817805009911693,2091,1433.0,1.4591765526866713,LOW
68,78,DET,2021,162,77,85,1299,5376,88.0,179,236,37,697,4.32,756,4259,1370,571,0.24162946428571427,0.3991815476190476,1941,1419.6666666666667,1.3672223526649447,LOW-MID
69,79,DET,2022,162,66,96,1240,5378,47.0,110,235,27,557,4.04,713,4259,1336,511,0.23056898475269616,0.345667534399405,1847,1419.6666666666667,1.3010096266729279,LOW
70,80,HOU,2015,162,86,76,1363,5459,121.0,230,278,26,729,3.57,618,4323,1308,423,0.24967942846675215,0.4365268364169262,1731,1441.0,1.2012491325468424,MID
71,81,HOU,2016,162,84,78,1367,5545,102.0,198,291,29,724,4.06,701,4404,1441,453,0.24652840396753833,0.4165915238954013,1894,1468.0,1.2901907356948228,MID
